dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
100,1,ほ,5,1,0,1,0.000000
100,1,ぼ,1,0,0,0,0.000000
100,1,ま,2,1,0,1,0.000000
100,1,む,2,4,0,4,0.000000
100,1,め,2,2,2,2,1.000000
100,1,も,2,1,0,1,0.000000
100,1,よ,1,0,0,0,0.000000
100,1,ら,2,4,0,4,0.000000
100,1,り,2,2,2,2,1.000000
100,1,る,0,4,4,4,1.000000
100,1,れ,2,0,0,0,0.000000
100,1,ろ,0,1,1,1,1.000000
100,1,ん,0,12,0,12,0.000000
100,2,あ,1,1,1,1,1.000000
100,2,い,4,16,0,16,0.000000
100,2,う,0,6,6,6,1.000000
100,2,え,1,1,1,1,1.000000
100,2,お,2,0,0,0,0.000000
100,2,か,3,2,1,2,0.500000
100,2,が,2,1,0,1,0.000000
100,2,き,0,7,7,7,1.000000
100,2,ぎ,0,3,3,3,1.000000
100,2,く,1,5,5,5,1.000000
100,2,げ,2,0,0,0,0.000000
100,2,こ,7,1,0,1,0.000000
100,2,ご,0,1,1,1,1.000000
100,2,さ,1,0,0,0,0.000000
100,2,ざ,1,0,0,0,0.000000
100,2,し,5,0,0,0,0.000000
100,2,じ,2,2,2,2,1.000000
100,2,す,4,2,0,2,0.000000
100,2,そ,2,0,0,0,0.000000
100,2,ぞ,1,0,0,0,0.000000
100,2,た,2,0,0,0,0.000000
100,2,だ,2,0,0,0,0.000000
100,2,ち,1,1,0,1,0.000000
100,2,つ,1,5,0,5,0.000000
100,2,て,5,0,0,0,0.000000
100,2,で,3,0,0,0,0.000000
100,2,と,2,5,0,5,0.000000
100,2,ど,0,2,2,2,1.000000
100,2,な,2,1,0,1,0.000000
100,2,に,1,1,0,1,0.000000
100,2,ね,1,0,0,0,0.000000
100,2,は,2,0,0,0,0.000000
100,2,ぱ,3,0,0,0,0.000000
100,2,ひ,3,0,0,0,0.000000
100,2,び,1,0,0,0,0.000000
100,2,ぴ,1,0,0,0,0.000000
100,2,ふ,1,1,0,1,0.000000
100,2,ぶ,2,2,0,2,0.000000
100,2,ぷ,1,1,1,1,1.000000
100,2,べ,1,0,0,0,0.000000
100,2,ほ,7,0,0,0,0.000000
100,2,ぼ,2,1,0,1,0.000000
100,2,ぽ,1,0,0,0,0.000000
100,2,ま,4,0,0,0,0.000000
100,2,み,1,0,0,0,0.000000
100,2,む,0,1,1,1,1.000000
100,2,め,1,0,0,0,0.000000
100,2,や,3,3,0,3,0.000000
100,2,ゆ,2,1,1,1,1.000000
100,2,よ,1,1,0,1,0.000000
100,2,ら,0,2,2,2,1.000000
100,2,り,2,1,1,1,1.000000
100,2,る,0,6,6,6,1.000000
100,2,れ,2,1,1,1,1.000000
100,2,ろ,0,1,1,1,1.000000
100,2,ん,0,15,0,15,0.000000
100,3,あ,2,1,0,1,0.000000
100,3,い,5,13,12,13,0.923077
100,3,う,3,12,0,12,0.000000
100,3,え,0,1,1,1,1.000000
100,3,お,4,1,0,1,0.000000
100,3,か,2,1,0,1,0.000000
100,3,が,1,1,0,1,0.000000
100,3,き,2,4,3,4,0.750000
100,3,ぎ,1,0,0,0,0.000000
100,3,く,2,5,5,5,1.000000
100,3,ぐ,0,1,1,1,1.000000
100,3,け,3,0,0,0,0.000000
100,3,げ,1,1,0,1,0.000000
100,3,こ,1,2,1,2,0.500000
100,3,さ,1,0,0,0,0.000000
100,3,し,7,1,0,1,0.000000
100,3,じ,2,1,0,1,0.000000
100,3,す,4,5,5,5,1.000000
100,3,せ,2,0,0,0,0.000000
100,3,そ,2,0,0,0,0.000000
100,3,た,0,1,1,1,1.000000
100,3,だ,2,0,0,0,0.000000
100,3,ち,2,2,0,2,0.000000
100,3,つ,1,7,6,7,0.857143
100,3,て,0,1,1,1,1.000000
100,3,で,1,0,0,0,0.000000
100,3,と,2,3,0,3,0.000000
100,3,ど,3,1,0,1,0.000000
100,3,な,2,0,0,0,0.000000
100,3,に,2,2,0,2,0.000000
100,3,ね,1,1,0,1,0.000000
100,3,の,1,0,0,0,0.000000
100,3,は,3,0,0,0,0.000000
100,3,ぱ,1,0,0,0,0.000000
100,3,び,0,2,2,2,1.000000
100,3,ふ,6,1,0,1,0.000000
100,3,ぶ,1,1,1,1,1.000000
100,3,ぷ,0,1,1,1,1.000000
100,3,へ,1,0,0,0,0.000000
100,3,ほ,2,0,0,0,0.000000
100,3,ま,1,1,1,1,1.000000
100,3,み,1,0,0,0,0.000000
100,3,む,2,3,0,3,0.000000
100,3,め,2,1,0,1,0.000000
100,3,も,2,1,0,1,0.000000
100,3,や,0,4,4,4,1.000000
100,3,よ,4,0,0,0,0.000000
100,3,ら,1,0,0,0,0.000000
100,3,り,4,2,0,2,0.000000
100,3,る,1,5,5,5,1.000000
100,3,れ,2,0,0,0,0.000000
100,3,わ,3,0,0,0,0.000000
100,3,ん,0,10,0,10,0.000000
100,3,ゔ,1,0,0,0,0.000000
100,4,あ,1,3,0,3,0.000000
100,4,い,3,9,0,9,0.000000
100,4,う,2,6,0,6,0.000000
100,4,え,1,0,0,0,0.000000
100,4,お,4,2,0,2,0.000000
100,4,か,7,2,0,2,0.000000
100,4,が,1,0,0,0,0.000000
100,4,き,1,6,6,6,1.000000
100,4,ぎ,0,1,1,1,1.000000
100,4,く,0,5,5,5,1.000000
